YMR056C	P04710	S000004660
YOR189W	Q08561	S000005715
YER092W	P40060	S000000894
YEL044W	P32617	S000000770
YBR159W	P38286	S000000363
YLR223C	P39520	S000004213
YOL023W	P25038	S000005383
YFR017C	P43598	S000001913
YNL157W	P53897	S000005101
YHR132W-A	Q9P305	S000007496
YHR187W	P38874	S000001230
YLR384C	Q06706	S000004376
YJL057C	P47042	S000003593
YJR118C	P47155	S000003879
YBL076C	P09436	S000000172
YER086W	P00927	S000000888
YMR108W	P07342	S000004714
YJR016C	P39522	S000003777
YLR355C	P06168	S000004347
YCL009C	P25605	S000000515
YGR287C	P53051	S000003519
YOL157C	Q08295	S000005517
YIL172C	P0CW40	S000001434
YJL221C	P0CW41	S000003757
YJL216C	P40884	S000003752
YAR073W	P39567	S000000095
YHR216W	P38697	S000001259
YLR432W	P50095	S000004424
YML056C	P50094	S000004520
YJR094C	P21190	S000003854
YJL106W	P32581	S000003642
YGL192W	P41833	S000003160
YCR046C	P25626	S000000642
YCR071C	P25642	S000000667
YLR309C	Q06704	S000004300
YJR138W	P47170	S000003899
YJL082W	P47031	S000003618
YBR107C	P38265	S000000311
YGR031W	P53219	S000003263
YMR150C	P28627	S000004758
YMR035W	P46972	S000004638
YIL154C	P32351	S000001416
YHR148W	P32899	S000001191
YNL075W	P53941	S000005019
YPL099C	Q02888	S000006020
YIR024C	P40576	S000001463
YDL181W	P01097	S000002340
YHR046C	P38710	S000001088
YDR287W	Q05533	S000002695
YNL152W	P53901	S000005096
YJL153C	P11986	S000003689
YDR123C	P26798	S000002530
YOL108C	P13902	S000005468
YGL150C	P53115	S000003118
YMR204C	Q03694	S000004817
YMR163C	Q03824	S000004773
YIL002C	P40559	S000001264
YNL106C	P50942	S000005050
YOR109W	Q12271	S000005635
YOL065C	Q08227	S000005426
YLR095C	Q12072	S000004085
YFR013W	P43596	S000001909
YMR044W	Q04213	S000004647
YHR085W	P38803	S000001127
YNL182C	P53877	S000005126
YDR315C	Q06667	S000002723
YPL209C	P38991	S000006130
YBR011C	P00817	S000000215
YDR072C	P38954	S000002479
YPL242C	Q12280	S000006163
YBR140C	P18963	S000000344
YOL081W	P19158	S000005441
YOL015W	Q08118	S000005375
YOR013W	Q12479	S000005539
YOR235W	Q08630	S000005761
YOR135C	Q08522	S000005661
YPL017C	Q02733	S000005938
YPR038W	Q6B0V8	S000006242
YJL037W	P47056	S000003574
YLL033W	Q07843	S000003956
YDR112W	A0A023PXB5	S000002519
YLR247C	Q06554	S000004237
YMR073C	Q04772	S000004677
YEL001C	P40006	S000000727
YOR044W	Q08416	S000005570
YIR036C	P40580	S000001475
YLR021W	Q07951	S000004011
YDR332W	Q06683	S000002740
YDR540C	Q03036	S000002948
YFR038W	P43610	S000001934
YFR043C	P43615	S000001939
YFR055W	P43623	S000001952
YJL051W	P47046	S000003587
YJL142C	P47010	S000003678
YHR079C	P32361	S000001121
YIL026C	P40541	S000001288
YKR019C	P36115	S000001727
YLL027W	Q07821	S000003950
YPR067W	Q12425	S000006271
YER019W	P40015	S000000821
YER180C	P32645	S000000982
YER048W-A	Q6Q560	S000007237
YMR081C	P32488	S000004686
YPL040C	P48526	S000005961
YOR155C	Q99312	S000005681
YPR106W	Q06098	S000006310
YNL265C	P53843	S000005209
YBR086C	P38250	S000000290
YIR005W	P40565	S000001444
YPL135W	Q03020	S000006056
YOR226C	Q12056	S000005752
YBR245C	P38144	S000000449
YOR304W	Q08773	S000005831
YJR050W	P21374	S000003811
YGL133W	P53125	S000003101
YDR497C	P30605	S000002905
YOL103W	P30606	S000005463
YML068W	Q04638	S000004533
YDR229W	Q04934	S000002637
YDL115C	Q07532	S000002273
YKL032C	P33417	S000001515
YDR492W	Q03419	S000002900
YOL002C	Q12442	S000005362
YLR023C	Q07959	S000004013
YOL101C	Q99393	S000005461
YGL018C	P53193	S000002986
YJL073W	P40358	S000003609
YKL217W	P36035	S000001700
YER051W	P40034	S000000853
YJR119C	P47156	S000003880
YPR061C	Q12350	S000006265
YLR331C	O13555	S000004323
YDR475C	Q03361	S000002883
YPR169W	Q06214	S000006373
YNL227C	P53863	S000005171
YJL162C	P46997	S000003698
YJR097W	P47138	S000003858
YLL057C	Q12358	S000003980
YMR132C	P40206	S000004739
YMR294W	P36224	S000004908
YJR091C	P47135	S000003851
YKR038C	P36132	S000001746
YBR017C	P38217	S000000221
YGL241W	P53067	S000003210
YPL125W	Q02932	S000006046
YGL016W	P32767	S000002984
YER110C	P40069	S000000912
YLR347C	Q06142	S000004339
YNL188W	P11927	S000005132
YJL034W	P16474	S000003571
YPR141C	P17119	S000006345
YCL055W	P25583	S000000560
YMR065W	Q04746	S000004669
YPL269W	P32526	S000006190
YCL024W	P25389	S000000529
YDR017C	Q12494	S000002424
YKL161C	P36005	S000001644
YFR042W	P43614	S000001938
YDR367W	Q06346	S000002775
YHR158C	P38853	S000001201
YGR238C	P50090	S000003470
YPL263C	Q08979	S000006184
YPL145C	P35844	S000006066
YGL203C	P09620	S000003171
YNL238W	P13134	S000005182
YIL125W	P20967	S000001387
YDR148C	P19262	S000002555
YJL094C	P40309	S000003630
YHR102W	P38692	S000001144
YDR122W	P13185	S000002529
YLR096W	P13186	S000004086
YDL108W	P06242	S000002266
YAR018C	P22209	S000000071
YOR233W	Q01919	S000005759
YCR091W	P25341	S000000687
YBL063W	P28742	S000000159
YPL155C	P28743	S000006076
YGL216W	P53086	S000003184
YKL168C	P36004	S000001651
YDL049C	P50112	S000002207
YLL019C	P32350	S000003942
YHR186C	P38873	S000001229
YNL322C	P17260	S000005266
YDR532C	Q04431	S000002940
YER038C	P40026	S000000840
YDR483W	P27809	S000002891
YNL132W	P53914	S000005076
YOR336W	P22023	S000005863
YPR159W	P32486	S000006363
YJL174W	P39005	S000003710
YNL308C	P42846	S000005252
YCL059C	P25586	S000000564
YDR037W	P15180	S000002444
YNL024C-A	Q8TGJ3	S000028698
YHR082C	P38691	S000001124
YGR040W	P14681	S000003272
YBL071W-A	Q3E840	S000007587
YKL110C	P34253	S000001593
YOR099W	P27810	S000005625
YKR061W	P33550	S000001769
YBR205W	P38130	S000000409
YBR199W	P38131	S000000403
YNL029C	P53966	S000004974
YPL053C	P54070	S000005974
YIL085C	P40504	S000001347
YGL079W	P53158	S000003047
YJL207C	P39526	S000003743
YKL008C	P28496	S000001491
YHL003C	P38703	S000000995
YOL025W	Q92325	S000005385
YHR155W	P38851	S000001198
YHR080C	P38800	S000001122
YFL042C	P43560	S000001852
YLR072W	Q08001	S000004062
YNL045W	Q10740	S000004990
YNL239W	Q01532	S000005183
YKR063C	P36146	S000001771
YOR181W	Q12446	S000005707
YJL062W	P40367	S000003598
YNL071W	P12695	S000005015
YMR296C	P25045	S000004911
YDR062W	P40970	S000002469
YJL134W	P47013	S000003670
YOR171C	Q12246	S000005697
YLR260W	Q06147	S000004250
YDR499W	Q04377	S000002907
YPL056C	Q02786	S000005977
YLR104W	Q08045	S000004094
YGL085W	P53153	S000003053
YER127W	P40079	S000000929
YCL005W	P25587	S000000511
YDL146W	Q12342	S000002305
YLL049W	Q07887	S000003972
YOR322C	Q12502	S000005849
YBL006C	P38210	S000000102
YBR204C	P38139	S000000408
YAL018C	P31379	S000000016
YOL047C	Q08218	S000005407
YPL213W	Q08963	S000006134
YPL054W	Q02799	S000005975
YNL323W	P42838	S000005267
YOR123C	P38439	S000005649
YGL009C	P07264	S000002977
YCL018W	P04173	S000000523
YLR451W	P08638	S000004443
YNL104C	P06208	S000005048
YHR002W	P38702	S000001044
YOR108W	Q12166	S000005634
YPL055C	Q02796	S000005976
YDL051W	P33399	S000002209
YKL073W	P36016	S000001556
YJR070C	P47120	S000003831
YGL090W	P53150	S000003058
YHR156C	P38852	S000001199
YMR298W	Q03579	S000004913
YLR239C	Q06005	S000004229
YOR196C	P32875	S000005722
YLL007C	Q07799	S000003930
YHR192W	P38878	S000001235
YPR139C	Q06508	S000006343
YFR001W	P43586	S000001897
YJL038C	P47055	S000003575
YKL205W	P33418	S000001688
YKL183W	P34234	S000001666
YLR011W	Q07923	S000004001
YFL018C	P09624	S000001876
YOR059C	Q08448	S000005585
YDR503C	Q04396	S000002911
YOR084W	Q12405	S000005610
YCL051W	P25579	S000000556
YDL240W	P35688	S000002399
YNR008W	P40345	S000005291
YHR081W	P38801	S000001123
YDR439W	Q04087	S000002847
YGR136W	P53281	S000003368
YFR024C-A	P43603	S000002968
YCL034W	P25369	S000000539
YJL100W	P42951	S000003636
YOR142W	P53598	S000005668
YGR244C	P53312	S000003476
YGL099W	P53145	S000003067
YHR121W	P38828	S000001163
YJL124C	P47017	S000003660
YBL026W	P38203	S000000122
YLR438C-A	P57743	S000006434
YER112W	P40070	S000000914
YER146W	P40089	S000000948
YDR378C	Q06406	S000002786
YNL147W	P53905	S000005091
YJR022W	P47093	S000003783
YJR005C-A	Q3E827	S000028523
YGR169C-A	Q3E772	S000028521
YPL004C	Q12230	S000005925
YKL176C	P34239	S000001659
YGR057C	P53237	S000003289
YNL006W	P41318	S000004951
YAL024C	P07866	S000000022
YNL260C	P53846	S000005204
YPR073C	P40347	S000006277
YKL143W	P34078	S000001626
YDL087C	Q07508	S000002245
YNL268W	P32487	S000005212
YIR034C	P38998	S000001473
YIL094C	P40495	S000001356
YDR034C	P40971	S000002441
YBR115C	P07702	S000000319
YDL182W	P48570	S000002341
YDL131W	Q12122	S000002289
YDR234W	P49367	S000002642
YGL154C	P50113	S000003122
YNR050C	P38999	S000005333
YMR021C	P35192	S000004623
YGL086W	P40957	S000003054
YJL030W	P40958	S000003567
YJL013C	P47074	S000003550
YKL029C	P36013	S000001512
YDR005C	P41910	S000002412
YER142C	P22134	S000000944
YLR427W	Q06436	S000004419
YEL053C	Q02197	S000000779
YKL021C	P20484	S000001504
YAL025C	P10962	S000000023
YDR060W	Q12176	S000002467
YCR020C-A	P23059	S000000614
YCR019W	P23060	S000000612
YPR051W	Q03503	S000006255
YBR142W	P38112	S000000346
YGR289C	P53048	S000003521
YGR292W	P53341	S000003524
YGR288W	P53338	S000003520
YBR298C	P38156	S000000502
YBR299W	P38158	S000000503
YBR297W	P38157	S000000501
YER106W	P40065	S000000908
YOL060C	Q12296	S000005421
YIL070C	P40513	S000001332
YNR073C	P0CX09	S000005356
YLR244C	Q01662	S000004234
YBL091C	P38174	S000000187
YLR163C	P10507	S000004153
YHR024C	P11914	S000001066
YCR040W	P0CY06	S000000636
YCR039C	P0CY08	S000000635
YBR185C	P38300	S000000389
YJL199C	P39534	S000003735
YOR298C-A	O14467	S000007253
YDL056W	P39678	S000002214
YKL093W	P23493	S000001576
YOR197W	Q08601	S000005723
YDL003W	Q12158	S000002161
YKL165C	P36051	S000001648
YDL054C	Q07376	S000002212
YKL221W	P36032	S000001704
YOL119C	Q08268	S000005479
YOR306C	Q08777	S000005833
YNL307C	P21965	S000005251
YIL150C	P32354	S000001412
YPR046W	Q12262	S000006250
YMR043W	P11746	S000004646
YBL023C	P29469	S000000119
YDR318W	Q06675	S000002726
YJR135C	P47167	S000003896
YEL032W	P24279	S000000758
YPR019W	P30665	S000006223
YLR274W	P29496	S000004264
YGL201C	P53091	S000003169
YBR202W	P38132	S000000406
YOR228C	Q12106	S000005754
YLR253W	Q06567	S000004243
YKL150W	P36060	S000001633
YOR221C	Q12283	S000005747
YBR227C	P38323	S000000431
YJR024C	P47095	S000003785
YNL173C	P53885	S000005117
YKL085W	P17505	S000001568
YOL126C	P22133	S000005486
YDL078C	P32419	S000002236
YFL016C	P35191	S000001878
YNL328C	P42834	S000005272
YLR188W	P33310	S000004178
YPL270W	P33311	S000006191
YML104C	Q01846	S000004572
YAL010C	P18409	S000000008
YOL009C	Q92328	S000005369
YOL076W	Q12387	S000005436
YLR368W	Q05930	S000004360
YHR194W	P38880	S000001237
YOR147W	Q12171	S000005673
YGL219C	P53083	S000003187
YKL053C-A	O60200	S000007243
YPR083W	Q06820	S000006287
YOL027C	Q08179	S000005387
YLR106C	Q12019	S000004096
YGR100W	P53258	S000003332
YGL197W	P53094	S000003165
YJL112W	P47025	S000003648
YOL111C	Q12285	S000005471
YBR136W	P38111	S000000340
YLR288C	Q02574	S000004279
YPR070W	Q12321	S000006274
YMR112C	Q99278	S000004718
YDL005C	Q12124	S000002163
YOR174W	Q12343	S000005700
YHR058C	P38782	S000001100
YOL135C	Q08278	S000005495
YBR193C	P38304	S000000397
YLR069C	P25039	S000004059
YJL102W	P39677	S000003638
YKR007W	Q02205	S000001715
YER044C-A	P29467	S000001954
YPL121C	P32489	S000006042
YOR351C	P24719	S000005878
YGR121C	P40260	S000003353
YNL142W	P41948	S000005086
YPR138C	P53390	S000006342
YNL210W	P16523	S000005154
YGR264C	P00958	S000003496
YFR030W	P39692	S000001926
YPL023C	P46151	S000005944
YGL125W	P53128	S000003093
YKL001C	Q02196	S000001484
YPR167C	P18408	S000006371
YLR303W	P06106	S000004294
YIL128W	P40469	S000001390
YKR069W	P36150	S000001777
YNL277W	P08465	S000005221
YOL064C	P32179	S000005425
YIR017C	P40573	S000001456
YJR010W	P08536	S000003771
YIL046W	P39014	S000001308
YPL038W	Q03081	S000005959
YDR253C	Q12041	S000002661
YNL103W	P32389	S000005047
YJR137C	P47169	S000003898
YER091C	P05694	S000000893
YOR241W	Q08645	S000005767
YBR213W	P15807	S000000417
YLR017W	Q07938	S000004007
YPL169C	Q99257	S000006090
YPL187W	P01149	S000006108
YGL089C	P32435	S000003057
YDR461W	P34165	S000002869
YNL145W	P34166	S000005089
YDR219C	Q04922	S000002627
YDL233W	Q07684	S000002392
YPL060W	Q02783	S000005981
YML062C	P33441	S000004527
YGR249W	P53050	S000003481
YIR033W	P40578	S000001472
YOR232W	P38523	S000005758
YJR144W	P32787	S000003905
YOR211C	P32266	S000005737
YCL044C	P25573	S000000549
YPL098C	Q02889	S000006019
YMR115W	Q04472	S000004721
YNL218W	P40151	S000005162
YDL200C	P26188	S000002359
YOL086W-A	Q3E835	S000007626
YDL160C-A	Q3E829	S000028520
YJR008W	P47085	S000003768
YJL042W	P43638	S000003578
YDR296W	Q06630	S000002704
YLL062C	Q12525	S000003985
YKL195W	P36046	S000001678
YCL057C-A	Q96VH5	S000007547
YBR262C	P38341	S000000466
YFR011C	P43594	S000001907
YGR235C	P50087	S000003467
YNL100W	P50945	S000005044
YKR016W	P36112	S000001724
YNL291C	P41821	S000005235
YLR332W	P36027	S000004324
YKL089W	P35201	S000001572
YGL035C	P27705	S000003003
YGL209W	P53035	S000003177
YER028C	P39943	S000000830
YMR036C	P23748	S000004639
YFL034W	P43564	S000001860
YOL026C	Q08176	S000005386
YLR099W-A	Q3E798	S000007618
YOR330C	P15801	S000005857
YHR015W	P38760	S000001057
YJR077C	P23641	S000003838
YBR084W	P09440	S000000288
YEL007W	P40002	S000000733
YDR031W	Q04341	S000002438
YMR002W	Q03667	S000004604
YBL107C	P38162	S000000203
YDR144C	P53379	S000002551
YOR231W	P32490	S000005757
YPL140C	P32491	S000006061
YNL076W	P34072	S000005020
YNL085W	P40850	S000005029
YGL106W	P53141	S000003074
YPR188C	Q06580	S000006392
YNL074C	P32047	S000005018
YMR167W	P38920	S000004777
YLR035C	Q07980	S000004025
YPL164C	Q12083	S000006085
YKR095W	Q02455	S000001803
YIL149C	P40457	S000001411
YNL117W	P30952	S000005061
YMR166C	Q03829	S000004776
YIL051C	P40185	S000001313
YLL006W	P41800	S000003929
YLL061W	Q12372	S000003984
YLR190W	Q06324	S000004180
YPR164W	Q06211	S000006368
YGL087C	P53152	S000003055
YEL019C	P38632	S000000745
YLR320W	Q06164	S000004312
YBR098W	P38257	S000000302
YMR177W	Q03218	S000004789
YPL224C	Q08970	S000006145
YGL183C	P53102	S000003151
YIR025W	P40577	S000001464
YOR350C	P24720	S000005877
YHR204W	P38888	S000001247
YLR057W	Q12205	S000004047
YER001W	P39106	S000000803
YDR245W	P50108	S000002653
YJL183W	P46985	S000003719
YBR015C	P38069	S000000219
YKL201C	P36044	S000001684
YJL186W	P46982	S000003722
YPL050C	P39107	S000005971
YGL068W	P53163	S000003036
YKL064W	P35724	S000001547
YJR131W	P32906	S000003892
YGL257C	P53059	S000003226
YIL014W	P40549	S000001276
YNR059W	P53745	S000005342
YIL106W	P40484	S000001368
YFL034C-B	P43563	S000001859
YOR274W	P07884	S000005800
YJR074W	P47123	S000003835
YBL049W	P38191	S000000145
YGL124C	P53129	S000003092
YNL297C	P48563	S000005241
YPL082C	P32333	S000006003
YER068W	P34909	S000000870
YMR070W	P54785	S000004674
YNL249C	P53583	S000005193
YGL080W	P53157	S000003048
YHR162W	P38857	S000001205
YGR243W	P53311	S000003475
YOR177C	Q08550	S000005703
YOR288C	Q12404	S000005814
YOL088C	Q99316	S000005448
YKL059C	P35728	S000001542
YIR002C	P40562	S000001441
YDL247W	P0CD99	S000002406
YJR160C	P0CE00	S000003921
YJL066C	P40364	S000003602
YGL010W	P25338	S000002978
YJR002W	P47083	S000003762
YNR024W	P53725	S000005307
YDL028C	P54199	S000002186
YGL075C	P53159	S000003043
YJL019W	P47069	S000003556
YGL178W	P39016	S000003146
YCL061C	P25588	S000000566
YPR112C	Q06106	S000006316
YMR224C	P32829	S000004837
YGL143C	P30775	S000003111
YDR033W	Q12117	S000002440
YGL064C	P53166	S000003032
YPR118W	Q06489	S000006322
YDL079C	P50873	S000002237
YPR079W	Q06815	S000006283
YOR201C	P25270	S000005727
YGL136C	P53123	S000003104
YPL184C	Q08925	S000006105
YDR347W	P10662	S000002755
YDL045W-A	O75012	S000006430
YGR084C	P12686	S000003316
YKL003C	P28778	S000001486
YPR166C	P10663	S000006370
YDR405W	P32387	S000002813
YBL090W	P38175	S000000186
YKL167C	P32388	S000001650
YHL004W	P32902	S000000996
YPL118W	Q02950	S000006039
YNL005C	P12687	S000004950
YKL142W	P35719	S000001625
YDR116C	Q04599	S000002523
YNL284C	P36520	S000005228
YDL202W	P36521	S000002361
YKR006C	Q02204	S000001714
YLR312W-A	P36523	S000004304
YBL038W	P38064	S000000134
YNL252C	P36528	S000005196
YNL185C	P53875	S000005129
YKR085C	P22354	S000001793
YNL177C	P53881	S000005121
YOR150W	Q12487	S000005676
YMR193W	P36525	S000004806
YGR076C	P23369	S000003308
YBR282W	P36526	S000000486
YDR462W	P36527	S000002870
YMR024W	P36516	S000004626
YKL138C	P14063	S000001621
YCR003W	P25348	S000000596
YMR286W	P20084	S000004899
YDR322W	Q06678	S000002730
YBR122C	P36531	S000000326
YBR268W	P36532	S000000472
YKL170W	P35996	S000001653
YML009C	P36533	S000004468
YLR439W	P36517	S000004431
YPL173W	P36534	S000006094
YMR225C	P19956	S000004838
YJL096W	P40858	S000003632
YNR022C	P53724	S000005305
YPR100W	Q06090	S000006304
YHR147C	P32904	S000001190
YDR237W	P36519	S000002645
YJL063C	P22353	S000003599
YGR220C	P31334	S000003452
YNR036C	P53732	S000005319
YPL013C	Q02608	S000005934
YMR188C	Q03246	S000004800
YNL306W	P42847	S000005250
YDR337W	P21771	S000002745
YGR165W	P53292	S000003397
YBR251W	P33759	S000000455
YMR158W	Q03799	S000004767
YBR146W	P38120	S000000350
YIR021W	P07266	S000001460
YOR334W	Q01926	S000005861
YJL133W	P10566	S000003669
YKR052C	P23500	S000001760
YOR370C	P32864	S000005897
YKL009W	P33201	S000001492
YER077C	P40050	S000000879
YDR282C	Q05648	S000002690
YPL041C	Q03079	S000005962
YJR003C	P47084	S000003763
YBL095W	P38172	S000000191
YPL168W	Q12467	S000006089
YJL147C	P47007	S000003683
YNL295W	P48564	S000005239
YNL211C	P53869	S000005155
YDR336W	Q05473	S000002744
YDL027C	Q07349	S000002185
YOR066W	Q08471	S000005592
YKR077W	P36157	S000001785
YOR188W	P21339	S000005714
YGR014W	P32334	S000003246
YNL293W	P48566	S000005237
YOL112W	Q12317	S000005472
YML128C	Q03104	S000004597
YDR205W	Q03455	S000002613
YLR219W	Q05812	S000004209
YOR354C	Q08818	S000005881
YHR039C	P38694	S000001081
YPL104W	P15179	S000006025
YOL033W	P48525	S000005393
YPR047W	P08425	S000006251
YNL053W	P38590	S000004998
YHR120W	P25846	S000001162
YOL090W	P25847	S000005450
YCR092C	P25336	S000000688
YFL003C	P40965	S000001891
YDL154W	Q12175	S000002313
YDR097C	Q03834	S000002504
YBR195C	P13712	S000000399
YNL073W	P32048	S000005017
YIR009W	P40567	S000001448
YLR116W	Q12186	S000004106
YGR171C	P22438	S000003403
YOL116W	P22148	S000005476
YMR037C	P33748	S000004640
YKL062W	P33749	S000001545
YDR335W	P52918	S000002743
YNR049C	P53604	S000005332
YGR028W	P28737	S000003260
YHR091C	P38714	S000001133
YMR164C	Q03825	S000004774
YDR194C	P15424	S000002602
YPR134W	P08593	S000006338
YMR023C	P32559	S000004625
YDL107W	P40990	S000002265
YDR208W	P38994	S000002616
YLR203C	P32335	S000004193
YKL194C	P07236	S000001677
YGL051W	P53176	S000003019
YAR033W	P39552	S000000079
YDR268W	P04803	S000002676
YPL097W	P48527	S000006018
YJL123C	P47018	S000003659
YKL098W	P34246	S000001581
YGL226W	P53077	S000003195
YBR255W	P38335	S000000459
YDR128W	Q03897	S000002535
YHR151C	P38849	S000001194
YEL033W	P32633	S000000759
YKR080W	Q02046	S000001788
YMR228W	P14908	S000004841
YDL044C	P10849	S000002202
YMR097C	Q03151	S000004703
YHR168W	P38860	S000001211
YDR277C	P35198	S000002685
YGR023W	P53214	S000003255
YGR257C	P53320	S000003489
YGL236C	P53070	S000003205
YNL063W	P53944	S000005007
YDR140W	Q03920	S000002547
YOR160W	Q99189	S000005686
YKL186C	P34232	S000001669
YGR158C	P48240	S000003390
YJL050W	P47047	S000003586
YAL034W-A	P39731	S000000032
YMR100W	Q03162	S000004706
YBR119W	P32605	S000000323
YKL074C	P36084	S000001557
YPL070W	Q02866	S000005991
YBR057C	P38236	S000000261
YOR298W	Q08750	S000005824
YGR055W	P50276	S000003287
YHL036W	P38734	S000001028
YDR386W	Q04149	S000002794
YGR206W	P42939	S000003438
YNR043W	P32377	S000005326
YMR004W	P40959	S000004606
YER042W	P40029	S000000844
YCL033C	P25566	S000000538
YHR023W	P08964	S000001065
YOR326W	P19524	S000005853
YKL129C	P36006	S000001612
YAL029C	P32492	S000000027
YMR109W	Q04439	S000004715
YDR493W	Q03429	S000002901
YGL122C	P32505	S000003090
YPL190C	P38996	S000006111
YML117W	Q03735	S000004585
YNL124W	P53919	S000005068
YGR031C-A	Q8TGN9	S000028636
YLR382C	P11325	S000004374
YMR080C	P30771	S000004685
YHR086W	Q00539	S000001128
YNL137C	P27929	S000005081
YPL126W	Q02931	S000006047
YKR048C	P25293	S000001756
YNL240C	P23503	S000005184
YIL007C	P40555	S000001269
YGR232W	P50086	S000003464
YDL040C	P12945	S000002198
YGR147C	P37293	S000003379
YPR131C	Q06504	S000006335
YMR069W	Q04751	S000004673
YOR253W	Q08689	S000005779
YOL070C	Q08229	S000005431
YHR199C-A	Q3E7Y6	S000029704
YLR457C	P52919	S000004449
YDR162C	Q12163	S000002569
YGL091C	P52920	S000003059
YPR155C	Q12374	S000006359
YJL116C	P46955	S000003652
YDR397C	Q92317	S000002805
YJL205C	Q02820	S000003742
YPR149W	Q12207	S000006353
YNL036W	P53615	S000004981
YBL024W	P38205	S000000120
YHR042W	P16603	S000001084
YPL006W	Q12200	S000005927
YNL119W	P53923	S000005063
YGL211W	P53088	S000003179
YLR194C	Q05777	S000004184
YML031W	P32500	S000004493
YIL144W	P40460	S000001406
YOR372C	Q08887	S000005899
YMR145C	P40215	S000004753
YDL085W	Q07500	S000002243
YML120C	P32340	S000004589
YOL104C	Q12366	S000005464
YLR254C	Q06568	S000004244
YHR124W	P38830	S000001166
YLR265C	Q06148	S000004255
YHR035W	P38769	S000001077
YHR004C	P38757	S000001046
YIL048W	P40527	S000001310
YJL076W	P47035	S000003612
YPL226W	Q08972	S000006147
YOR156C	Q12216	S000005682
YCL017C	P25374	S000000522
YKR103W	P0CE68	S000001811
YKL040C	P32860	S000001523
YDR176W	P32494	S000002583
YOL042W	Q08213	S000005402
YMR285C	Q03264	S000004898
YML118W	Q03210	S000004587
YBR212W	P32831	S000000416
YLR138W	Q99271	S000004128
YDL002C	Q03435	S000002160
YDL208W	P32495	S000002367
YPR052C	P11632	S000006256
YBR089C-A	P11633	S000002157
YDR456W	Q04121	S000002864
YFR002W	P34077	S000001898
YGL221C	P53081	S000003189
YMR309C	P32497	S000004926
YPL174C	P33420	S000006095
YPL211W	Q08962	S000006132
YNL078W	P53939	S000005022
YIL164C	P40447	S000001426
YJL126W	P47016	S000003662
YLR351C	P49954	S000004343
YDR383C	Q12493	S000002791
YLR315W	Q06162	S000004307
YLR328W	Q06178	S000004320
YNL123W	P53920	S000005067
YGR010W	P53204	S000003242
YHR077C	P38798	S000001119
YHR170W	P38861	S000001213
YLR363C	Q12129	S000004355
YJR132W	P46970	S000003893
YLR195C	P14743	S000004185
YJR112W	P47149	S000003873
YGR089W	P53253	S000003321
YKL171W	P36003	S000001654
YNL200C	P40165	S000005144
YKL151C	P36059	S000001634
YLR285W	Q05874	S000004275
YOR056C	Q08444	S000005582
YOR206W	P39744	S000005732
YLR002C	Q07896	S000003992
YPR144C	Q06512	S000006348
YPL093W	Q02892	S000006014
YNR053C	P53742	S000005336
YHR072W-A	Q6Q547	S000007455
YOL041C	Q08208	S000005401
YNL175C	P53883	S000005119
YDL148C	Q99207	S000002307
YNL110C	P53927	S000005054
YER002W	P40007	S000000804
YGR251W	P53317	S000003483
YDL014W	P15646	S000002172
YNL061W	P40991	S000005005
YPL043W	P37838	S000005964
YPL146C	Q12080	S000006067
YLR197W	Q12460	S000004187
YOR310C	Q12499	S000005837
YDL213C	Q07623	S000002372
YGR103W	P53261	S000003335
YOL144W	Q08287	S000005504
YJL010C	P47077	S000003547
YIL038C	P06102	S000001300
YPR072W	Q12514	S000006276
YJR072C	P47122	S000003833
YDL046W	Q12408	S000002204
YDR432W	Q01560	S000002840
YBR170C	P33755	S000000374
YMR091C	P32832	S000004697
YCR026C	P25353	S000000621
YEL016C	P39997	S000000742
YNL183C	P22211	S000005127
YEL062W	P39923	S000000788
YHL023C	P38742	S000001015
YOR209C	P39683	S000005735
YGL067W	P53164	S000003035
YGR043C	P53228	S000003275
YNL251C	P53617	S000005195
YDR043C	Q03125	S000002450
YBR066C	P38082	S000000270
YNL129W	P53915	S000005073
YNR009W	P53718	S000005292
YDL167C	P32770	S000002326
YOR071C	Q08485	S000005597
YGL111W	P53136	S000003079
YER126C	P40078	S000000928
YLR007W	Q07913	S000003997
YDR288W	Q05541	S000002696
YDL105W	P43124	S000002263
YML023C	Q03718	S000004485
YHR133C	P38837	S000001175
YNL156C	P53898	S000005100
YDR026C	Q12457	S000002433
YPL233W	Q12143	S000006154
YJL041W	P14907	S000003577
YGR159C	P27476	S000003391
YNL091W	P53935	S000005035
YJR062C	P40354	S000003823
YBR188C	P38302	S000000392
YML059C	Q04958	S000004524
YER009W	P33331	S000000811
YAL015C	P31378	S000000013
YOL043C	Q08214	S000005403
YDR001C	P32356	S000002408
YBR001C	P35172	S000000205
YPR031W	Q12311	S000006235
YKR022C	P36118	S000001730
YJL208C	P08466	S000003744
YOR373W	P32336	S000005900
YOL069W	P33895	S000005430
YER006W	P40010	S000000808
YDR150W	Q00402	S000002557
YOR098C	P20676	S000005624
YKL068W	Q02629	S000001551
YMR047C	Q02630	S000004650
YKL057C	P35729	S000001540
YKR082W	P36161	S000001790
YGL092W	P49687	S000003060
YER105C	P40064	S000000907
YIL115C	P40477	S000001377
YBL079W	P38181	S000000175
YML103C	P52593	S000004571
YJL039C	P47054	S000003576
YLR335W	P32499	S000004327
YDR192C	P49686	S000002600
YGL172W	Q02199	S000003140
